time, x, y, action, reward 
0, 0, 0, 0, 3
1, 0, 1, 2, 3
2, 1, 1, 1, -5
3, 1, 0, 3, -5
4, 0, 0, 1, -2
5, 0, 0, 0, 3
6, 0, 1, 3, -2
7, 0, 1, 0, 3
8, 0, 2, 3, -2
9, 0, 2, 3, -2
10, 0, 2, 1, -5
11, 0, 1, 0, 3
12, 0, 2, 0, 3
13, 0, 3, 3, -2
14, 0, 3, 0, 3
15, 0, 4, 0, 3
16, 0, 5, 1, -5
17, 0, 4, 3, -2
18, 0, 4, 1, -5
19, 0, 3, 3, -2
20, 0, 3, 2, 3
21, 1, 3, 2, 3
22, 2, 3, 0, 3
23, 2, 4, 1, -5
24, 2, 3, 1, -5
25, 2, 2, 2, 3
26, 3, 2, 2, 3
27, 4, 2, 2, 3
28, 5, 2, 1, -5
29, 5, 1, 0, 3
30, 5, 2, 2, -2
31, 5, 2, 0, 3
32, 5, 3, 0, 3
33, 5, 4, 3, -5
34, 4, 4, 2, 3
35, 5, 4, 0, 25
