time, x, y, action, reward 
0, 0, 0, 1, -2
1, 0, 0, 0, 3
2, 0, 1, 1, -5
3, 0, 0, 0, 3
4, 0, 1, 0, 3
5, 0, 2, 0, 3
6, 0, 3, 3, -2
7, 0, 3, 2, 3
8, 1, 3, 0, 3
9, 1, 4, 1, -5
10, 1, 3, 2, 3
11, 2, 3, 2, 3
12, 3, 3, 2, -10
13, 3, 3, 3, -5
14, 2, 3, 2, 3
15, 3, 3, 3, -5
16, 2, 3, 1, -5
17, 2, 2, 3, -10
18, 2, 2, 3, -5
19, 1, 2, 3, -5
20, 0, 2, 0, 3
21, 0, 3, 3, -2
22, 0, 3, 2, 3
23, 1, 3, 2, 3
24, 2, 3, 2, 3
25, 3, 3, 0, -10
26, 3, 3, 0, -10
27, 3, 4, 2, -10
28, 3, 3, 1, -5
29, 3, 2, 0, 3
30, 3, 3, 1, -5
31, 3, 2, 2, 3
32, 4, 2, 3, -5
33, 3, 2, 3, -5
34, 2, 2, 2, 3
35, 3, 2, 2, 3
36, 4, 2, 0, 3
37, 4, 3, 2, 3
38, 5, 3, 0, 3
39, 5, 4, 0, 25
