time, x, y, action, reward 
0, 0, 0, 3, -2
1, 0, 0, 3, -2
2, 0, 0, 0, 3
3, 0, 1, 0, 3
4, 0, 2, 2, 3
5, 1, 2, 3, -5
6, 0, 2, 0, 3
7, 0, 3, 2, 3
8, 1, 3, 2, 3
9, 2, 3, 2, 3
10, 3, 3, 1, -5
11, 3, 2, 0, 3
12, 3, 3, 2, 3
13, 4, 3, 0, 3
14, 4, 4, 3, -10
15, 3, 4, 2, -5
16, 4, 4, 2, 3
17, 5, 4, 1, -5
18, 5, 3, 3, -5
19, 4, 3, 3, -5
20, 3, 3, 0, 3
21, 3, 4, 3, -5
22, 2, 4, 1, -5
23, 2, 3, 0, 3
24, 2, 4, 1, -5
25, 2, 3, 3, -5
26, 1, 3, 3, -5
27, 0, 3, 2, 3
28, 1, 3, 1, -5
29, 1, 2, 1, -5
30, 1, 1, 0, 3
