time, x, y, action, reward 
0, 0, 0, 1, -2
1, 0, 0, 3, -2
2, 0, 0, 0, 3
3, 0, 1, 2, 3
4, 1, 1, 0, 3
5, 1, 2, 2, 3
6, 2, 2, 3, -5
7, 1, 2, 3, -5
8, 0, 2, 2, 3
9, 1, 2, 1, -10
10, 1, 2, 2, 3
11, 2, 2, 2, 3
12, 3, 2, 0, 3
13, 3, 3, 3, -5
14, 2, 3, 2, 3
15, 3, 3, 0, -10
16, 3, 4, 3, -10
17, 3, 4, 1, -5
18, 3, 3, 1, -5
19, 3, 2, 2, 3
20, 4, 2, 1, -5
21, 4, 1, 2, 3
22, 5, 1, 3, -5
23, 4, 1, 0, 3
24, 4, 2, 3, -5
25, 3, 2, 0, 3
26, 3, 3, 3, -5
27, 2, 3, 3, -5
28, 1, 3, 2, 3
29, 2, 3, 2, 3
30, 3, 3, 2, 3
31, 4, 3, 3, -5
32, 3, 3, 2, 3
33, 4, 3, 3, -5
34, 3, 3, 3, -5
35, 2, 3, 2, 3
36, 3, 3, 1, -5
37, 3, 2, 0, 3
38, 3, 3, 2, 3
39, 4, 3, 3, -5
40, 3, 3, 0, 3
41, 3, 4, 2, 3
42, 4, 4, 2, 3
43, 5, 4, 0, 25
